factor,factor_iri,factor_label,cfde_disease
Th1 physiology and IL-12,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8ce3b948ca60c61c3166,Th1 physiology and IL-12 (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Th1/Th2 and IL-12 signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2623e0c49132c92657fa,Th1/Th2 and IL-12 signaling (trait context: psoriasis),psoriasis
Th1/Th2 and immune signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7fed856d6d33f0b209e9,Th1/Th2 and immune signaling (trait context: Psoriasis),Psoriasis
Th1/Th2 and T Cell Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cbb1f524129a4edc63ac,Th1/Th2 and T Cell Activation (trait context: Atopic dermatitis),Atopic dermatitis
Th1/Th2 balance and tolerance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f62e33cefe95954167b9,Th1/Th2 balance and tolerance (trait context: Vasculitis),Vasculitis
Th1/Th2 Cytokine Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/26312410a25a38a83265,Th1/Th2 Cytokine Signaling (trait context: Primary biliary cholangitis),Primary biliary cholangitis
TH1/TH2 T cell pathway,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ac4ed62e0cee86741c05,TH1/TH2 T cell pathway (trait context: multiple sclerosis),multiple sclerosis
Th17 Differentiation and Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b44698900dc413455fb7,Th17 Differentiation and Activation (trait context: Atopic dermatitis),Atopic dermatitis
Th17 differentiation and IL-17,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fd698244d49b9f1380e4,Th17 differentiation and IL-17 (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
Th17 differentiation and IL-17 production,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6f71c1ddac92601ce88e,Th17 differentiation and IL-17 production (trait context: Psoriasis),Psoriasis
TH17 differentiation and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e5475fafc55bf7f6df53,TH17 differentiation and signaling (trait context: Childhood-onset asthma),Childhood-onset asthma
Th17 Differentiation in IBD,https://purl.org/okn/frink/kg/digcfdekg/node/factor/db0d9fb4892855245061,Th17 Differentiation in IBD (trait context: childhood onset asthma),childhood onset asthma
Th17 differentiation pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8d4cba1976c147d97e38,Th17 differentiation pathways (trait context: allergic disease),allergic disease
Th17 IL-23 signaling and IFN-I,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9cf3a4aa45bb6672f6cd,Th17 IL-23 signaling and IFN-I (trait context: psoriatic arthritis),psoriatic arthritis
TH17 immune response regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a8a52676e630eceba1bf,TH17 immune response regulation (trait context: inflammatory bowel disease),inflammatory bowel disease
Th2 and ILC regulation TFs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/37e08286d22ee94dc19b,Th2 and ILC regulation TFs (trait context: Childhood-onset asthma),Childhood-onset asthma
Th2 cytokine signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cae62351e2b6c75102a4,Th2 cytokine signaling (trait context: allergic disease),allergic disease
Th2 physiology and IFN-gamma decrease,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bbd3455e99815aa46d0b,Th2 physiology and IFN-gamma decrease (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Th2 responses and infection risk,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fbc074b0c46ab71660e5,Th2 responses and infection risk (trait context: Psoriasis),Psoriasis
Thioester and Sulfur Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/164927a9353229f04649,Thioester and Sulfur Metabolism (trait context: Organic aciduria),Organic aciduria
Thymic T Cell Development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b186ac79f4932f95b38e,Thymic T Cell Development (trait context: childhood onset asthma),childhood onset asthma
Thymic T cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/73665a92793b922f2905,Thymic T cell differentiation (trait context: Psoriasis),Psoriasis
Thymic T-cell differentiation regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/db6ef266106964c3c96b,Thymic T-cell differentiation regulation (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
Thymic T-cell selection,https://purl.org/okn/frink/kg/digcfdekg/node/factor/52b7863ef4685565bbc5,Thymic T-cell selection (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
thymocyte and T cell reductions,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7ed134038d6375fab318,thymocyte and T cell reductions (trait context: Multiple sclerosis),Multiple sclerosis
Thymocyte development and Notch genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/dcecd60a612ae1c67857,Thymocyte development and Notch genes (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Thyroid and B/T Cell Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7a135fe6ed722016f615,Thyroid and B/T Cell Activation (trait context: Atopic dermatitis),Atopic dermatitis
Thyroid and fetal lymphoid cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1a3347628f3b399668ef,Thyroid and fetal lymphoid cells (trait context: Childhood-onset asthma),Childhood-onset asthma
Thyroid and gland development signals,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d20b8de42fb74b39c803,Thyroid and gland development signals (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroid and immune coexpression genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/abcb4524ed449998cbdb,Thyroid and immune coexpression genes (trait context: inflammatory bowel disease),inflammatory bowel disease
Thyroid and small intestine markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9308e72da2f2badd815d,Thyroid and small intestine markers (trait context: multiple sclerosis),multiple sclerosis
Thyroid Cancer and DNA Damage,https://purl.org/okn/frink/kg/digcfdekg/node/factor/80f8fa159b42387ecd34,Thyroid Cancer and DNA Damage (trait context: cancer),cancer
Thyroid Cancer MAPK Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d79237122dd452634319,Thyroid Cancer MAPK Genes (trait context: Rare thyroid carcinoma),Rare thyroid carcinoma
Thyroid Cancer Oncogenic Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ffaa2d963d45f97dd5ed,Thyroid Cancer Oncogenic Pathways (trait context: Rare thyroid carcinoma),Rare thyroid carcinoma
Thyroid disease and IFN signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3953e87009ab48465ed2,Thyroid disease and IFN signaling (trait context: systemic lupus erythematosus),systemic lupus erythematosus
thyroid downregulation and immune genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8471789c36b65de525d7,thyroid downregulation and immune genes (trait context: Multiple sclerosis),Multiple sclerosis
Thyroid Endometrial Cancers and MAPK,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3ef8094372b644e919fc,Thyroid Endometrial Cancers and MAPK (trait context: Rare thyroid carcinoma),Rare thyroid carcinoma
Thyroid follicle morphology and hormones,https://purl.org/okn/frink/kg/digcfdekg/node/factor/699542aeebf59ec6ae1d,Thyroid follicle morphology and hormones (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroid hormone generation and metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d163c660aac179a10c3a,Thyroid hormone generation and metabolism (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroid hormone imbalance and development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b1e8e66ef23c8784ab11,Thyroid hormone imbalance and development (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroid hormone production imbalance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/439ef51fbaba2f82e7bd,Thyroid hormone production imbalance (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroid hormones and growth hormone,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7134babd1f07f36c70b0,Thyroid hormones and growth hormone (trait context: Congenital hypothyroidism),Congenital hypothyroidism
thyroid immune gene downregulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9832439cdba4c376865f,thyroid immune gene downregulation (trait context: Multiple sclerosis),Multiple sclerosis
Thyroid signaling and metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1f6bcd2e4ab86eef4e54,Thyroid signaling and metabolism (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroid-adipose B cell markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a7512c6da6b9cff21f30,Thyroid-adipose B cell markers (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
Thyroid-Cardiac Coexpression Markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/33b60815e184c206c5da,Thyroid-Cardiac Coexpression Markers (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Thyroid-downregulated B cell markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/682b820a51813148f9cd,Thyroid-downregulated B cell markers (trait context: multiple sclerosis),multiple sclerosis
Thyroid-related T cell genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9d2071f0868ecb394e3c,Thyroid-related T cell genes (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
Thyroxine and pituitary abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8e88a23015508b69806a,Thyroxine and pituitary abnormalities (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroxine biosynthesis and metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b79614023e6931d58d29,Thyroxine biosynthesis and metabolism (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Thyroxine biosynthesis and thyroid activity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ebe1eddcca21ff5427b4,Thyroxine biosynthesis and thyroid activity (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Tissue Specific Upregulation of Lipoproteins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/344ef1d65be4881692fe,Tissue Specific Upregulation of Lipoproteins (trait context: Amyloidosis),Amyloidosis
Tissue-specific gene upregulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/063e702c4d17f0492b04,Tissue-specific gene upregulation (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
tissue-specific immune coexpression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8cf5add461bf2ee9e7c8,tissue-specific immune coexpression (trait context: Multiple sclerosis),Multiple sclerosis
Tissue-Specific P2RY10 Coexpression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fcd383f7635267d14342,Tissue-Specific P2RY10 Coexpression (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Tissue-wide gene expression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8e525c83bef16f2049a6,Tissue-wide gene expression (trait context: Membranous nephropathy),Membranous nephropathy
Titin-related Signaling and Myopathy,https://purl.org/okn/frink/kg/digcfdekg/node/factor/97be24d45f77ed0e3085,Titin-related Signaling and Myopathy (trait context: Rare cardiomyopathy),Rare cardiomyopathy
TLR signaling and IFN induction,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7f6650c8ab259446d62e,TLR signaling and IFN induction (trait context: systemic lupus erythematosus),systemic lupus erythematosus
TLR signaling and interferon production,https://purl.org/okn/frink/kg/digcfdekg/node/factor/112a4476cbd7a9979671,TLR signaling and interferon production (trait context: Encephalitis),Encephalitis
TLR signaling and NF-kB activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9df413a6b909347563d2,TLR signaling and NF-kB activation (trait context: systemic lupus erythematosus),systemic lupus erythematosus
TNF NFkB signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/97fc9438f1fe841274ac,TNF NFkB signaling (trait context: allergic disease),allergic disease
TNF signaling and granulocytes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0dd47c900b9fd2a1be1b,TNF signaling and granulocytes (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
TNF Signaling and Metaprograms,https://purl.org/okn/frink/kg/digcfdekg/node/factor/77068b88258c4592890f,TNF Signaling and Metaprograms (trait context: Atopic dermatitis),Atopic dermatitis
TNF signaling via NF-kB,https://purl.org/okn/frink/kg/digcfdekg/node/factor/77494dcff81e5ce71b6c,TNF signaling via NF-kB (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
TNF-NFkB immune activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/89e81b6bad575c075eae,TNF-NFkB immune activation (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
TNF/NF-kB Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/28d63b790a101c7a04b2,TNF/NF-kB Signaling (trait context: Primary biliary cholangitis),Primary biliary cholangitis
TNF/NF-kB signaling and CD40,https://purl.org/okn/frink/kg/digcfdekg/node/factor/04e6179afe34406a20fa,TNF/NF-kB signaling and CD40 (trait context: Childhood-onset asthma),Childhood-onset asthma
TNF/NF-κB and Notch Targets,https://purl.org/okn/frink/kg/digcfdekg/node/factor/02099b254206878f0891,TNF/NF-κB and Notch Targets (trait context: Atopic dermatitis),Atopic dermatitis
Tolerogenic signals and innate immunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b4343c828b9ef2e03248,Tolerogenic signals and innate immunity (trait context: Vasculitis),Vasculitis
Tooth and facial limb anomalies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a4e962132b97db7be3bb,Tooth and facial limb anomalies (trait context: Oligodontia),Oligodontia
TP53 network and DNA damage,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e37eb448f6741840705f,TP53 network and DNA damage (trait context: renal carcinoma),renal carcinoma
TP53 network and hematopoietic regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1eb9e53deb3a3c1239d2,TP53 network and hematopoietic regulation (trait context: Lymphoma),Lymphoma
TP53 Pathway and Cell Cycle,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d936ce310d7e8dff48ac,TP53 Pathway and Cell Cycle (trait context: cancer),cancer
TP53 regulates G2 arrest,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ca88326ecdeca25d18b3,TP53 regulates G2 arrest (trait context: renal carcinoma),renal carcinoma
Transcription factor regulation in adipogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/84b3bd54f71c6cedb52a,Transcription factor regulation in adipogenesis (trait context: Diabetic retinopathy),Diabetic retinopathy
Transcription factors and motifs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e7121f07f6f6b4a5be68,Transcription factors and motifs (trait context: Gastroesophageal reflux disease (GERD)),Gastroesophageal reflux disease (GERD)
